08/08/23 21:26:02 EST -0500 | ##### Start #####
08/08/23 21:26:02 EST -0500 | #####  End  #####
08/08/23 21:27:02 EST -0500 | ##### Start #####
08/08/23 21:27:03 EST -0500 | #####  End  #####
08/08/23 21:27:10 EST -0500 | ##### Start #####
08/08/23 21:27:12 EST -0500 | #####  End  #####
08/08/23 21:27:28 EST -0500 | #####
08/08/23 21:27:28 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/startup-notifier.sh: line 22: cd: /home/ubuntu/miscellaneous/startup-notifier/carina: No such file or directory
08/08/23 21:28:02 EST -0500 | ##### Start #####
08/08/23 21:28:03 EST -0500 | #####  End  #####
08/08/23 21:29:02 EST -0500 | ##### Start #####
08/08/23 21:29:02 EST -0500 | #####  End  #####
08/08/23 21:30:02 EST -0500 | ##### Start #####
08/08/23 21:30:03 EST -0500 | #####  End  #####
08/08/23 21:31:02 EST -0500 | ##### Start #####
08/08/23 21:31:03 EST -0500 | #####  End  #####
08/08/23 21:32:01 EST -0500 | ##### Start #####
08/08/23 21:32:02 EST -0500 | #####  End  #####
08/08/23 21:33:02 EST -0500 | ##### Start #####
08/08/23 21:33:02 EST -0500 | #####  End  #####
08/08/23 21:34:02 EST -0500 | ##### Start #####
08/08/23 21:34:03 EST -0500 | #####  End  #####
08/08/23 21:35:02 EST -0500 | ##### Start #####
08/08/23 21:35:03 EST -0500 | #####  End  #####
08/08/23 21:36:02 EST -0500 | ##### Start #####
08/08/23 21:36:02 EST -0500 | #####  End  #####
08/08/23 21:37:02 EST -0500 | ##### Start #####
08/08/23 21:37:03 EST -0500 | #####  End  #####
08/08/23 21:38:01 EST -0500 | ##### Start #####
08/08/23 21:38:02 EST -0500 | #####  End  #####
08/08/23 21:39:02 EST -0500 | ##### Start #####
08/08/23 21:39:02 EST -0500 | #####  End  #####
08/08/23 21:40:02 EST -0500 | ##### Start #####
08/08/23 21:40:03 EST -0500 | #####  End  #####
08/08/23 21:41:01 EST -0500 | ##### Start #####
08/08/23 21:41:02 EST -0500 | #####  End  #####
08/08/23 21:42:02 EST -0500 | ##### Start #####
08/08/23 21:42:03 EST -0500 | #####  End  #####
08/08/23 21:43:01 EST -0500 | ##### Start #####
08/08/23 21:43:02 EST -0500 | #####  End  #####
08/08/23 21:44:02 EST -0500 | ##### Start #####
08/08/23 21:44:02 EST -0500 | #####  End  #####
08/08/23 21:45:02 EST -0500 | ##### Start #####
08/08/23 21:45:03 EST -0500 | #####  End  #####
08/08/23 21:46:02 EST -0500 | ##### Start #####
08/08/23 21:46:02 EST -0500 | #####  End  #####
08/08/23 21:47:02 EST -0500 | ##### Start #####
08/08/23 21:47:03 EST -0500 | #####  End  #####
08/08/23 21:48:02 EST -0500 | ##### Start #####
08/08/23 21:48:02 EST -0500 | #####  End  #####
08/08/23 21:49:02 EST -0500 | ##### Start #####
08/08/23 21:49:03 EST -0500 | #####  End  #####
08/08/23 21:50:02 EST -0500 | ##### Start #####
08/08/23 21:50:02 EST -0500 | #####  End  #####
08/08/23 21:51:02 EST -0500 | ##### Start #####
08/08/23 21:51:02 EST -0500 | #####  End  #####
08/08/23 21:52:02 EST -0500 | ##### Start #####
08/08/23 21:52:03 EST -0500 | #####  End  #####
08/08/23 21:53:01 EST -0500 | ##### Start #####
08/08/23 21:53:02 EST -0500 | #####  End  #####
08/08/23 21:54:02 EST -0500 | ##### Start #####
08/08/23 21:54:02 EST -0500 | #####  End  #####
08/08/23 21:55:02 EST -0500 | ##### Start #####
08/08/23 21:55:03 EST -0500 | #####  End  #####
08/08/23 21:56:02 EST -0500 | ##### Start #####
08/08/23 21:56:02 EST -0500 | #####  End  #####
08/08/23 21:57:02 EST -0500 | ##### Start #####
08/08/23 21:57:03 EST -0500 | #####  End  #####
08/08/23 21:58:02 EST -0500 | ##### Start #####
08/08/23 21:58:02 EST -0500 | #####  End  #####
08/08/23 21:59:02 EST -0500 | ##### Start #####
08/08/23 21:59:03 EST -0500 | #####  End  #####
08/08/23 22:00:02 EST -0500 | ##### Start #####
